gene	log2_TE
YDR301W	-0.9031
YDR302W	0.5150
YDR303C	-0.5932
YDR304C	1.2895
YDR305C	0.0761
YDR306C	-0.5901
YDR307W	-0.3153
YDR308C	0.3696
YDR309C	0.8144
YDR310C	-0.9368
YDR311W	-0.2880
YDR312W	0.2430
YDR313C	-0.6813
YDR314C	-0.9487
YDR315C	-0.6244
YDR316W	-0.3614
YDR317W	-0.2638
YDR318W	-0.5271
YDR319C	-0.2207
YDR320C	0.0048
YDR320C-A	0.9173
YDR321W	0.8846
YDR322C-A	1.8050
YDR322W	0.2248
YDR323C	-0.4742
YDR324C	0.1662
YDR325W	-0.9339
YDR326C	-1.0852
YDR328C	2.1636
YDR329C	-0.3961
YDR330W	0.0408
YDR331W	0.1371
YDR332W	-0.9975
YDR333C	-0.3856
YDR334W	-1.5674
YDR335W	-0.5631
YDR336W	-0.8826
YDR337W	0.3766
YDR338C	-0.4386
YDR339C	0.6270
YDR341C	0.8216
YDR345C	1.0067
YDR346C	0.4212
YDR347W	-0.5868
YDR348C	0.3394
YDR349C	-0.9893
YDR350C	-1.1047
YDR351W	-0.5560
YDR352W	-0.1293
YDR353W	1.5937
YDR354W	0.2743
YDR356W	0.1298
YDR357C	-0.4063
YDR358W	0.2947
YDR359C	-0.8497
YDR361C	0.7392
YDR362C	-0.6174
YDR363W	-0.5460
YDR363W-A	1.5297
YDR364C	-0.9708
YDR365C	-0.1539
YDR367W	-0.3079
YDR368W	1.1562
YDR369C	-0.3492
YDR370C	-0.9644
YDR371W	-0.2933
YDR372C	0.0778
YDR373W	0.3784
YDR374W-A	-0.1429
YDR375C	-0.4917
YDR376W	-0.4428
YDR377W	1.1655
YDR378C	0.7801
YDR379C-A	0.4420
YDR379W	-0.6740
YDR380W	-0.2670
YDR381C-A	0.0779
YDR381W	1.5616
YDR382W	1.9074
YDR383C	-0.4862
YDR384C	1.1069
YDR386W	-0.2481
YDR387C	-1.0952
YDR388W	0.5300
YDR389W	-0.7914
YDR390C	-0.2762
YDR391C	-0.1946
YDR392W	0.4399
YDR393W	-0.9233
YDR394W	0.6702
YDR395W	0.0853
YDR397C	3.2206
YDR398W	0.2524
YDR399W	0.8506
YDR400W	-0.0460
YDR404C	0.4641
YDR405W	0.4502
YDR406W	-0.9270
YDR407C	-1.3320
YDR408C	0.4838
YDR409W	-0.6669
YDR410C	-0.2645
YDR411C	0.0626
YDR412W	3.1968
YDR414C	-0.8862
YDR415C	0.6986
YDR416W	-0.5444
YDR418W	3.2762
YDR419W	-0.4466
YDR420W	-1.4095
YDR421W	-0.9093
YDR422C	-0.7682
YDR423C	-0.3309
YDR424C	0.8259
YDR425W	0.5995
YDR427W	0.4341
YDR428C	-0.1902
YDR429C	1.1018
YDR430C	-0.1787
YDR432W	2.5922
YDR434W	-0.1667
YDR435C	-0.4116
YDR436W	-0.3591
YDR437W	0.1024
YDR439W	-0.3166
YDR440W	-0.6130
YDR441C	-0.4086
YDR443C	-1.0120
YDR444W	-0.8026
YDR447C	1.5060
YDR448W	-0.2306
YDR449C	0.1804
YDR450W	2.1484
YDR451C	0.4400
YDR452W	-0.5590
YDR453C	0.2026
YDR454C	1.1942
YDR456W	-0.1448
YDR457W	-1.2375
YDR458C	-0.4040
YDR459C	-1.0356
YDR460W	-0.0159
YDR461C-A	0.6464
YDR461W	2.4113
YDR462W	0.9470
YDR463W	0.3230
YDR464W	-0.6158
YDR465C	0.3573
YDR466W	-0.4956
YDR468C	1.2255
YDR469W	-0.0482
YDR470C	-0.1253
YDR471W	1.8969
YDR472W	0.2182
YDR473C	0.0002
YDR475C	-0.9041
YDR476C	0.1778
YDR477W	0.1654
YDR478W	-0.2054
YDR479C	-0.7612
YDR480W	-0.0820
YDR481C	0.3526
YDR482C	0.4631
YDR483W	0.2031
YDR484W	-0.3523
YDR485C	-0.3549
YDR486C	0.5966
YDR487C	0.8242
YDR488C	-0.9081
YDR489W	-0.2787
YDR490C	-0.6236
YDR492W	0.8264
YDR493W	0.8848
YDR494W	0.2174
YDR495C	-0.4426
YDR496C	0.5506
YDR497C	-0.5385
YDR498C	-0.4047
YDR499W	-0.5846
YDR500C	1.6473
YDR501W	-0.1919
YDR502C	1.2923
YDR503C	-0.6618
YDR505C	-0.5802
YDR506C	-0.2863
YDR507C	-0.2224
YDR508C	0.7673
YDR510W	2.0708
YDR511W	0.5095
YDR512C	1.5603
YDR513W	1.6088
YDR514C	-0.0491
YDR515W	0.1649
YDR516C	0.6046
YDR517W	0.0163
YDR518W	0.3145
YDR519W	0.8472
YDR520C	-0.0006
YDR524C	-1.0287
YDR524C-B	3.1978
YDR525W-A	1.1521
YDR527W	0.6114
YDR528W	-0.8455
YDR529C	0.9736
YDR530C	-0.2887
YDR531W	-0.2603
YDR532C	-0.1231
YDR533C	0.4979
YDR534C	0.4278
YDR538W	1.4399
YDR539W	-0.0522
YDR540C	-0.0943
YDR541C	-0.9451
YEL001C	0.8474
YEL002C	0.5793
YEL003W	0.6034
YEL004W	-0.2525
YEL005C	-0.6465
YEL006W	-0.6898
YEL007W	-0.2360
YEL009C	-3.7903
YEL011W	-0.4148
YEL012W	-0.0021
YEL013W	-0.0901
YEL015W	0.2200
YEL016C	-1.2435
YEL017C-A	1.7910
YEL017W	0.1300
YEL018W	1.1396
YEL019C	0.3087
YEL020C	-0.5922
YEL020W-A	2.8239
YEL022W	-0.7573
YEL024W	0.9075
YEL025C	-1.4531
YEL026W	1.4966
YEL027W	1.5853
YEL029C	-0.6673
YEL031W	-0.0203
YEL032W	-0.2033
YEL034W	4.9822
YEL036C	-0.1344
YEL037C	1.0443
YEL038W	0.2355
YEL039C	0.7055
YEL040W	0.5551
YEL041W	-0.4058
YEL042W	0.2947
YEL043W	-1.1465
YEL044W	0.5188
YEL046C	1.2157
YEL047C	0.5334
YEL048C	-0.4633
YEL050C	0.0052
YEL051W	0.8149
YEL052W	-0.7790
YEL053C	-0.6563
YEL054C	3.2449
YEL055C	-0.2601
YEL056W	-0.2875
YEL058W	0.2175
YEL059C-A	0.0294
YEL060C	0.5930
YEL061C	-0.7437
YEL062W	-0.6682
YEL063C	0.0970
YEL064C	-0.2837
YEL065W	-0.0215
YEL066W	0.6688
YEL068C	0.2904
YEL071W	0.9676
YEL072W	-1.2793
YER001W	-0.1829
YER002W	1.7763
YER003C	1.1054
YER004W	0.5470
YER005W	-0.9293
YER006W	0.7566
YER007C-A	0.9464
YER007W	0.2122
YER008C	-0.6546
YER009W	1.4563
YER010C	-0.4973
YER011W	1.4818
YER012W	0.8850
YER013W	-0.4757
YER014W	0.0498
YER015W	-0.1948
YER016W	-0.0804
YER017C	-0.9382
YER018C	-0.8420
YER019C-A	1.2915
YER019W	-0.2898
YER020W	-0.1054
YER021W	0.1896
YER022W	-0.2309
YER023W	1.7448
YER025W	1.1565
YER026C	0.7068
YER027C	0.7705
YER028C	-0.4575
YER029C	0.8506
YER030W	1.4693
YER031C	1.0845
YER032W	-0.5256
YER033C	-0.5817
YER034W	0.7249
YER035W	0.9885
YER036C	0.7192
YER037W	-0.1670
YER038C	-0.8345
YER038W-A	1.0386
YER039C-A	0.2597
YER040W	-0.5386
YER041W	-0.9164
YER042W	0.8962
YER043C	1.5852
YER044C	0.9133
YER045C	-0.7156
YER046W	-0.6479
YER047C	0.0424
YER048C	1.0503
YER048W-A	1.0932
YER049W	0.3197
YER050C	0.8096
YER051W	-0.5469
YER052C	0.4606
YER053C	-0.2360
YER055C	0.4623
YER056C	0.7120
YER056C-A	1.9141
YER057C	1.4148
YER058W	1.0449
YER059W	-0.1147
YER060W	-1.1698
YER061C	-0.6383
YER062C	1.0485
YER063W	0.9196
YER064C	0.2173
YER067W	2.8864
YER068W	0.4483
YER069W	-0.2452
YER070W	0.3312
YER071C	0.1086
YER072W	1.6667
YER073W	0.1120
YER074W	1.7411
YER074W-A	0.6645
YER075C	-0.6667
YER076C	-0.2559
YER077C	-0.4183
YER078C	-0.5750
YER079W	0.8052
YER080W	0.8580
YER081W	-0.9335
YER082C	0.2199
YER083C	0.6645
YER086W	0.3205
YER087C-B	1.2105
YER087W	0.6849
YER088C	-0.1416
YER088C-A	3.4063
YER089C	0.0466
YER090W	1.2831
YER091C	1.1991
YER092W	0.4265
YER093C	-1.0945
YER093C-A	0.1796
YER094C	0.8557
YER095W	0.2966
YER098W	-0.8344
YER099C	0.4150
YER100W	1.4029
YER101C	0.2725
YER102W	1.1055
YER103W	0.2459
YER104W	0.3988
YER105C	-0.8674
YER107C	0.7704
YER109C	0.0650
YER110C	0.7766
YER111C	-0.9586
YER112W	1.1467
YER113C	-1.0250
YER114C	-0.2283
YER115C	-1.4469
YER116C	0.1473
YER117W	1.4851
YER118C	0.0512
YER119C	-0.2069
YER120W	2.0384
YER121W	-0.0085
YER122C	0.6457
YER123W	-0.3065
YER124C	0.0900
YER125W	-0.0627
YER126C	1.0989
YER127W	0.1764
YER128W	0.3834
YER129W	-1.3824
YER130C	-0.2771
YER131W	1.7457
YER132C	-1.5575
YER133W	0.8634
YER134C	1.6756
YER136W	0.7596
YER137C	1.5179
YER139C	0.2647
YER140W	-0.7408
YER141W	0.2061
YER142C	-0.3748
YER143W	0.9034
YER144C	-0.9383
YER145C	0.4523
YER146W	2.8511
YER147C	-0.6866
YER148W	1.9579
YER149C	0.7326
YER150W	0.2564
YER151C	-0.0884
YER152C	0.0997
YER153C	-1.5711
YER154W	-0.9091
YER155C	-1.3835
YER156C	0.6542
YER157W	-0.7925
YER158C	0.0185
YER159C	1.7827
YER161C	0.0089
YER162C	-0.0213
YER163C	-0.3902
YER164W	-0.3258
YER165W	1.4019
YER166W	-0.7146
YER167W	-0.8535
YER168C	-0.1758
YER169W	-0.4982
YER170W	0.4688
YER171W	-0.5828
YER172C	-0.9391
YER173W	-0.0386
YER174C	0.0093
YER175C	-0.0934
YER176W	-0.4038
YER177W	1.6192
YER178W	0.7773
YER179W	0.3500
YER180C-A	0.2437
YER182W	0.2171
YER183C	-0.1049
YER188W	0.2938
YFL001W	-0.3896
YFL002C	-0.2823
YFL004W	0.1861
YFL005W	1.2207
YFL007W	-1.0583
YFL008W	-0.5144
YFL009W	-0.3873
YFL010C	2.5137
YFL013C	1.1570
YFL014W	0.9542
YFL016C	-0.0007
YFL017C	0.0807
YFL017W-A	0.7428
YFL018C	0.9095
YFL021W	0.7690
YFL022C	1.0970
YFL023W	0.0916
YFL024C	-0.9410
YFL025C	-0.6954
YFL026W	0.1861
YFL027C	-0.8411
YFL028C	0.2918
YFL029C	-0.3995
YFL031W	-4.5783
YFL033C	-0.9725
YFL034C-A	1.3284
YFL034C-B	0.5999
YFL034W	-0.5644
YFL036W	-0.7143
YFL037W	0.7370
YFL038C	1.1422
YFL039C	1.6889
YFL041W	-0.0184
YFL042C	-0.3305
YFL044C	0.2950
YFL045C	1.4477
YFL046W	0.0915
YFL047W	-0.7888
YFL048C	0.4254
YFL049W	-0.1049
YFL054C	-0.5318
YFR001W	0.9192
YFR002W	-0.3642
YFR003C	1.0603
YFR004W	1.0772
YFR005C	-0.6069
YFR006W	0.4987
YFR007W	-0.2812
YFR008W	0.5422
YFR009W	0.5743
YFR010W	0.6534
YFR011C	1.6210
YFR013W	-0.5954
YFR014C	-0.1456
YFR015C	-0.2306
YFR016C	-0.0330
YFR017C	0.2550
YFR018C	-0.6059
YFR019W	-1.1577
YFR020W	-0.6204
YFR021W	-0.2123
YFR022W	-0.9285
YFR024C-A	0.5012
YFR025C	-0.3504
YFR027W	0.2347
YFR028C	-0.3764
YFR029W	-0.6112
YFR030W	-0.6607
YFR031C	-0.8642
YFR031C-A	2.0050
YFR032C-A	2.5181
YFR032C-B	-1.2543
YFR033C	0.1899
YFR034C	0.2831
YFR036W	0.9565
YFR037C	1.1813
YFR038W	-0.6974
YFR039C	-0.5651
YFR040W	-0.6493
YFR041C	0.2069
YFR042W	0.0049
YFR043C	0.2617
YFR044C	0.8096
YFR045W	0.1062
YFR046C	-0.3546
YFR047C	0.5593
YFR048W	-0.6184
YFR049W	1.3245
YFR050C	0.9710
YFR051C	0.4662
YFR052C-A	2.8019
YFR052W	0.7791
YFR053C	1.3420
YFR055W	0.6791
YGL001C	0.7085
YGL002W	-0.6235
YGL003C	-0.6056
YGL004C	0.0944
YGL005C	-0.4978
YGL006W	-1.0386
YGL008C	1.4270
YGL009C	0.9265
YGL010W	-0.6490
YGL011C	0.8302
YGL012W	0.3116
YGL013C	-1.0534
YGL014W	-0.5389
YGL016W	-0.8452
YGL017W	-0.2486
YGL018C	0.7624
YGL019W	0.2240
YGL020C	0.7182
YGL021W	-0.4184
YGL022W	-0.4726
YGL023C	-0.7138
YGL025C	1.0608
YGL026C	1.1157
YGL027C	-0.0248
YGL028C	0.8012
YGL029W	1.3670
YGL030W	2.0790
YGL031C	1.9714
YGL032C	0.9030
YGL035C	0.3744
YGL036W	-0.9964
YGL037C	1.3994
YGL038C	-0.2241
YGL039W	0.2191
YGL040C	0.6740
YGL041W-A	1.7447
YGL043W	1.3896
YGL044C	0.9818
YGL045W	-0.1732
YGL047W	0.2168
YGL048C	0.6432
YGL049C	0.2138
YGL050W	0.0837
YGL053W	-0.2392
YGL054C	1.0559
YGL055W	0.6489
YGL056C	0.3754
YGL057C	-0.2541
YGL058W	0.5436
YGL059W	-0.7162
YGL060W	-0.4918
YGL061C	0.0578
YGL062W	-0.1141
YGL063W	-0.7342
YGL064C	-0.3842
YGL065C	-0.0164
YGL066W	0.2099
YGL067W	-0.2770
YGL068W	2.3526
YGL070C	1.0284
YGL071W	-0.9150
YGL072C	0.4892
YGL073W	-0.1774
YGL075C	-0.4976
YGL076C	0.8851
YGL077C	-0.1179
YGL078C	0.6882
YGL079W	-0.6590
YGL080W	0.6720
YGL081W	0.3183
YGL082W	0.1933
YGL083W	-0.4496
YGL084C	-0.2088
YGL085W	-0.5654
YGL086W	-0.5884
YGL087C	1.1464
YGL088W	-6.7590
YGL090W	-0.7527
YGL091C	0.3246
YGL092W	-0.6681
YGL093W	-0.6596
YGL094C	-1.4117
YGL095C	-0.3310
YGL096W	-0.4006
YGL097W	0.5102
YGL098W	0.2776
YGL099W	0.3920
YGL100W	0.0452
YGL101W	0.3783
YGL103W	3.5768
YGL104C	-0.4093
YGL105W	1.3010
YGL106W	1.4446
YGL107C	-0.4102
YGL108C	1.8269
YGL110C	-0.2514
YGL111W	0.0972
YGL112C	-0.0680
YGL113W	-0.8131
YGL114W	-0.7100
YGL115W	-0.2941
YGL116W	-0.0975
YGL117W	-1.0853
YGL119W	-0.3305
YGL120C	0.4343
YGL121C	0.1271
YGL122C	0.7261
YGL123W	3.0000
YGL124C	-0.7180
YGL125W	-0.3186
YGL126W	-0.9904
YGL127C	0.3783
YGL128C	0.1072
YGL129C	-0.1293
YGL130W	0.1643
YGL131C	-1.1991
YGL133W	-0.7843
YGL134W	-1.1548
YGL136C	-1.3467
YGL137W	0.4331
YGL139W	-0.6072
YGL140C	-1.2647
YGL141W	-0.3902
YGL142C	-0.8459
YGL143C	-0.4830
YGL144C	-0.8279
YGL145W	-0.2209
YGL146C	-0.6237
YGL147C	1.7815
YGL148W	0.9231
YGL150C	-0.8831
YGL151W	-0.6510
YGL153W	1.6832
YGL154C	-1.1714
YGL155W	-1.0131
YGL156W	-0.3596
YGL157W	0.4888
YGL159W	-0.3918
YGL160W	-0.5671
YGL161C	0.4075
YGL162W	-0.5039
YGL163C	-0.5888
YGL164C	0.1875
YGL166W	1.5339
YGL167C	-0.2373
YGL169W	-0.2379
YGL171W	0.3021
YGL172W	0.5504
YGL173C	0.0056
YGL174W	0.1196
YGL175C	-0.9141
YGL176C	-1.2073
YGL178W	-0.7656
YGL179C	-0.5289
YGL180W	-0.7600
YGL181W	0.6696
YGL184C	0.3742
YGL185C	-0.2408
YGL186C	0.3250
YGL187C	0.9697
YGL188C-A	-1.8564
YGL189C	1.9488
YGL190C	-0.2014
YGL191W	1.1173
YGL194C	-0.1806
YGL194C-A	0.2677
YGL195W	-0.2937
YGL196W	-0.1336
YGL197W	-1.2144
YGL198W	1.6334
YGL200C	0.9062
YGL201C	-0.3420
YGL202W	1.0064
YGL203C	0.1707
YGL204C	-0.0141
YGL206C	0.5427
YGL207W	0.3553
YGL208W	0.1854
YGL209W	0.3972
YGL210W	0.2802
YGL211W	-0.6911
YGL212W	0.7322
YGL213C	1.3309
YGL215W	-1.7953
YGL216W	-0.3525
YGL219C	0.9475
YGL220W	0.8930
YGL221C	0.5796
YGL222C	0.6978
YGL223C	-0.3241
YGL224C	-0.6566
YGL225W	0.7267
YGL226C-A	1.1988
YGL226W	0.5358
YGL227W	-0.5776
YGL228W	0.1078
YGL229C	-1.0613
YGL230C	0.0638
YGL231C	0.5893
YGL232W	0.3012
YGL233W	-0.9397
YGL234W	0.8444
YGL236C	-0.2294
YGL237C	0.4756
YGL238W	-0.1878
YGL240W	-0.4612
YGL241W	-0.3300
YGL242C	1.2073
YGL243W	-1.0479
YGL244W	1.0661
YGL245W	1.0606
YGL246C	-0.2205
YGL247W	-1.0737
YGL248W	-0.4542
YGL250W	0.3911
YGL252C	-0.1806
YGL253W	1.4550
YGL254W	-0.0639
YGL255W	-0.3928
YGL256W	-1.1509
YGL257C	-1.2668
YGR001C	0.6607
YGR002C	-0.1669
YGR003W	-0.5684
YGR004W	-0.4322
YGR005C	0.5170
YGR006W	-0.4415
YGR007W	-0.4351
YGR008C	1.8345
YGR009C	0.4173
YGR010W	-0.2033
YGR012W	-0.2618
YGR013W	-0.2751
YGR014W	-0.4692
YGR015C	-0.4369
YGR016W	0.1208
YGR017W	0.4706
YGR018C	-0.8045
YGR019W	0.4869
YGR020C	1.0464
YGR021W	-0.0433
YGR023W	0.4320
YGR024C	-0.7547
YGR026W	0.7348
YGR027C	1.9969
YGR028W	-0.5950
YGR029W	0.0376
YGR030C	0.2185
YGR031W	0.5331
YGR032W	-0.9044
YGR033C	-0.4756
YGR034W	1.2757
YGR035C	0.9274
YGR036C	0.0133
YGR037C	2.2990
YGR038W	0.4716
YGR039W	-0.3867
YGR040W	-0.6428
YGR041W	-0.7715
YGR042W	-0.7773
YGR043C	-0.2061
YGR044C	0.0081
YGR046W	-0.6786
YGR047C	-0.5596
YGR048W	0.1830
YGR049W	0.5926
YGR050C	-0.1159
YGR052W	0.3809
YGR053C	0.1042
YGR054W	0.6519
YGR055W	0.3462
YGR056W	-0.3461
YGR057C	-0.7690
YGR058W	0.3531
YGR060W	1.0880
YGR061C	0.2968
YGR062C	-1.0133
YGR063C	2.2454
YGR065C	-0.4642
YGR068C	-0.2628
YGR071C	-0.6217
YGR072W	0.2066
YGR074W	1.9637
YGR075C	-0.5943
YGR076C	0.7543
YGR077C	-1.0026
YGR078C	0.7605
YGR079W	0.5460
YGR080W	0.8609
YGR081C	0.6286
YGR082W	1.0984
YGR083C	0.2188
YGR084C	-0.1015
YGR085C	1.8533
YGR086C	1.1006
YGR088W	-0.5991
YGR089W	-0.8267
YGR090W	-0.4032
YGR091W	-0.3816
YGR092W	-0.0046
YGR093W	-0.3245
YGR094W	0.3918
YGR095C	0.3524
YGR096W	-0.5403
YGR097W	-0.8043
YGR098C	-1.2825
YGR099W	-0.9434
YGR100W	-0.7396
YGR101W	-0.1396
YGR102C	-0.3335
YGR103W	0.3132
YGR104C	-0.1661
YGR105W	1.2341
YGR106C	0.9350
YGR108W	-0.7477
YGR109C	0.0083
YGR111W	-0.0665
YGR112W	-0.2175
YGR113W	-0.2788
YGR116W	0.4196
YGR117C	-0.7496
YGR119C	0.1810
YGR120C	-0.2499
YGR121C	-0.8670
YGR122W	-0.6286
YGR123C	0.3003
YGR124W	0.9441
YGR125W	-0.7418
YGR126W	0.0112
YGR127W	-0.7153
YGR128C	0.2520
YGR129W	0.4110
YGR130C	0.5542
YGR131W	0.0532
YGR132C	0.5113
YGR133W	-0.5922
YGR134W	-0.9414
YGR135W	0.9722
YGR136W	1.4407
YGR140W	-0.6480
YGR141W	0.2718
YGR142W	-0.2373
YGR143W	-0.6653
YGR145W	0.1365
YGR146C	-0.3678
YGR147C	-0.2749
YGR148C	1.6334
YGR149W	-0.3897
YGR150C	-1.1201
YGR151C	3.7273
YGR152C	0.8119
YGR153W	-0.1103
YGR155W	1.1536
YGR156W	-0.2408
YGR157W	-0.9526
YGR158C	0.3737
YGR159C	2.5265
YGR161C	0.9529
YGR161W-C	0.4251
YGR162W	0.3948
YGR163W	0.1080
YGR165W	-0.1176
YGR166W	-0.6483
YGR167W	1.3768
YGR168C	-0.9467
YGR169C	-0.6543
YGR169C-A	2.8841
YGR170W	-1.4008
YGR171C	-0.6334
YGR172C	0.5229
YGR173W	0.6962
YGR174C	0.0528
YGR175C	1.1579
YGR177C	0.2407
YGR178C	-0.0171
YGR179C	-0.2510
YGR180C	1.5576
YGR181W	1.8136
YGR183C	1.0341
YGR184C	-1.0444
YGR185C	0.9051
YGR186W	-0.0297
YGR187C	1.0323
YGR188C	-0.6987
YGR189C	1.1513
YGR191W	1.1249
YGR192C	2.6739
YGR193C	0.5745
YGR194C	-0.4964
YGR195W	0.3145
YGR196C	0.0046
YGR197C	-0.3968
YGR198W	-0.7088
YGR199W	-0.3198
YGR200C	-0.1173
YGR201C	-1.3725
YGR202C	0.2995
YGR203W	0.2187
YGR204W	0.6875
YGR205W	0.3130
YGR206W	0.0828
YGR207C	0.6535
YGR208W	0.6386
YGR209C	1.7925
YGR210C	0.0011
YGR211W	0.7777
YGR212W	-0.2614
YGR214W	2.0017
YGR215W	0.8196
YGR216C	-0.9003
YGR217W	-1.0843
YGR218W	0.2280
YGR220C	0.7883
YGR221C	-0.9036
YGR222W	-1.1726
YGR223C	-0.8737
YGR227W	-0.2803
YGR229C	0.8443
YGR230W	-0.0811
YGR231C	0.1846
YGR232W	0.2940
YGR233C	-0.6171
YGR234W	1.3271
YGR235C	0.7713
YGR237C	-0.3330
YGR238C	-0.9230
YGR239C	-0.1751
YGR240C	1.2310
YGR241C	0.1386
YGR243W	0.2278
YGR244C	0.3514
YGR245C	0.0889
YGR246C	-0.0386
YGR247W	-0.3284
YGR248W	0.4974
YGR250C	-0.0839
YGR251W	0.5385
YGR252W	-0.5262
YGR253C	0.8359
YGR254W	1.5784
YGR255C	-0.7456
YGR256W	0.4100
YGR257C	-1.3742
YGR258C	-0.7235
YGR260W	0.9209
YGR261C	-0.6815
YGR262C	0.2050
YGR263C	-0.0611
YGR264C	0.9948
YGR266W	0.1149
YGR267C	0.4130
YGR268C	0.3919
YGR270W	-0.8183
YGR271C-A	0.7759
YGR271W	-0.9199
YGR274C	-0.6051
YGR275W	0.9782
YGR276C	-0.0977
YGR277C	0.0353
YGR278W	-0.1526
YGR279C	1.7711
YGR280C	1.1860
YGR281W	-0.9856
YGR282C	1.3899
YGR283C	0.0460
YGR284C	0.8329
YGR285C	1.5054
YGR286C	0.0212
YGR287C	-0.1766
YGR288W	-0.2645
YGR295C	-0.3804
YHL001W	0.7468
YHL002W	0.9889
YHL003C	0.2083
YHL004W	0.3930
YHL006C	-0.8375
YHL007C	-0.0190
